bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number
25,25,1,1,2,1.0867,-25.162,0.1005,0.201,1.35,-0.22,0,0,1.24,-0.22,0,0,0
26,26,1,1,1,1.0851,-5.0889,0,0,0,0,0,0,0,0,0,0,0
27,27,1,1,1,1.0852,-5.1028,0,0,0,0,0,0,0,0,0,0,0
28,28,1,1,1,1.04,-20.228,0,0,0,0,0,0,0,0,0,0,0
29,29,1,1,1,1.04,-20.225,0,0,0,0,0,0,0,0,0,0,0
30,30,1,1,1,1.0425,-17.703,0,0,0,0,0,0,0,0,0,0,0
31,31,1,1,1,1.0425,-17.716,0,0,0,0,0,0,0,0,0,0,0
32,32,1,1,1,1.0845,-2.6769,0,0,0,0,0,0,0,0,0,0,0
33,33,1,1,1,1.0844,-2.7009,0,0,0,0,0,0,0,0,0,0,0
34,34,1,1,1,1.0178,-15.361,0,0,0,0,0,0,0,0,0,0,0
35,35,1,1,1,1.0178,-15.366,0,0,0,0,0,0,0,0,0,0,0
36,36,1,1,1,1.0072,-18.549,0,0,0,0,0,0,0,0,0,0,0
37,37,1,1,3,1.11,0,0.4868,0.8621,7.4,1.4934,0,0,3.8,-0.38,0,0,0
38,38,1,1,2,1.11,1.6791,0.5454,0.8993,7.4,0.3282,0,0,3.8,-0.38,0,0,0
39,39,1,1,2,1.11,1.6712,0.201,0.4019,3.7,0.97,0,0,1.9,-0.19,0,0,0
40,40,1,1,2,1.0475,0.16082,0.6029,1.2057,11.1,2.0778,0,0,5.7,-0.57,0,0,0
41,41,1,1,2,1.0475,0.1677,0.6029,1.2057,11.1,-0.5697,0,0,5.7,-0.57,0,0,0
42,42,1,1,1,1.032,-19.505,0,0,0,0,0,0,0,0,0,0,0
43,43,1,1,1,1.0319,-19.508,0,0,0,0,0,0,0,0,0,0,0
44,44,1,1,1,1.05,-1.4667,0,0,0,0,0,0,0,0,0,0,0
45,45,1,1,1,1.05,-1.4702,0,0,0,0,0,0,0,0,0,0,0
46,46,1,1,1,1.0396,-18.559,0,0,0,0,0,0,0,0,0,0,0
47,47,1,1,1,1.0603,-8.3839,0,0,0,0,0,0,0,0,0,0,0
48,48,1,1,1,1.0603,-8.4011,0,0,0,0,0,0,0,0,0,0,0
49,49,1,1,1,1.0929,-12.145,0,0,0,0,0,0,0,0,0,0,0
50,50,1,1,1,1.0912,-11.763,0,0,0,0,0,0,0,0,0,0,0
51,51,1,1,1,1.1037,-10.128,0,0,0,0,0,0,0,0,0,0,0
52,52,1,1,1,1.1036,-10.133,0,0,0,0,0,0,0,0,0,0,0
53,53,1,1,1,1.0723,-14.114,0,0,0,0,0,0,0,0,0,0,0
54,54,1,1,1,1.0996,-8.9001,0.0323,0.01,0,0,0,0,0,0,0,0,0
55,55,1,1,1,1.0997,-8.8993,0,0,0,0,0,0,0,0,0,0,0
56,56,1,1,1,1.036,-9.0573,0,0,0,0,0,0,0,0,0,0,0
57,57,1,1,2,1.1017,-10.256,0.2612,0.6029,2.3773,0.8368,0,0,3.04,-0.66,0,0,0
58,58,1,1,2,1.1017,-10.256,0.5426,1.2057,3.1829,1.718,0,0,4.47,-0.99,0,0,0
59,59,1,1,2,1.1017,-10.257,0.1306,0.3014,1.1,0.2972,0,0,1.49,-0.33,0,0,0
60,60,1,1,2,1.05,-8.4,0.2612,0.5024,5.35,1.7745,0,0,3.63,-0.47,0,0,0
61,61,1,1,2,1.05,-8.3931,0.2612,0.5024,5.6,0.3663,0,0,3.48,-1,0,0,0
62,62,1,1,1,1.0942,-9.6337,0,0,0,0,0,0,0,0,0,0,0
63,63,1,1,1,1.0449,-12.966,0,0,0,0,0,0,0,0,0,0,0
64,64,1,1,1,1.0449,-12.967,0,0,0,0,0,0,0,0,0,0,0
65,65,1,1,1,1.0478,-9.9362,0,0,0,0,0,0,0,0,0,0,0
66,66,1,1,1,1.0784,-12.394,0,0,0,0,0,0,0,0,0,0,0
67,67,1,1,1,1.0784,-12.389,0,0,0,0,0,0,0,0,0,0,0
68,68,1,1,1,1.0457,-9.6318,0,0,0,0,0,0,0,0,0,0,0
69,69,1,1,1,1.0457,-9.6338,0,0,0,0,0,0,0,0,0,0,0
70,70,1,1,2,1.1084,-8.8777,0.1306,0.3014,1.29,-0.06,0,0,1.05,-0.11,0,0,0
71,71,1,1,2,1.1084,-8.8793,0.1306,0.3014,1.29,0.5533,0,0,2.04,-0.21,0,0,0
72,72,1,1,2,1.0433,-9.2651,0.1306,0.3014,1.29,-0.11,0,0,2.1,-0.22,0,0,0
73,73,1,1,2,1.0433,-9.2666,0.2612,0.6029,2.58,-0.21,0,0,2.04,-0.21,0,0,0
74,74,1,1,2,1.0986,-11.203,1.4971,0.6029,1.12,0.6,0,0,0.6,0,0,0,0
75,75,1,1,1,1.0986,-11.205,0.2914,0.1005,0,0,0,0,0,0,0,0,0
76,76,1,1,1,1.0966,-9.8001,0,0,0,0,0,0,0,0,0,0,0
77,77,1,1,1,1.0966,-9.7965,0,0,0,0,0,0,0,0,0,0,0
78,78,1,1,1,1.0975,-11.175,0,0,0,0,0,0,0,0,0,0,0
79,79,1,1,1,1.0975,-11.178,0,0,0,0,0,0,0,0,0,0,0
80,80,1,1,1,1.05,-10.594,0,0,0,0,0,0,0,0,0,0,0
81,81,1,1,1,1.05,-10.606,0,0,0,0,0,0,0,0,0,0,0
82,82,1,1,1,1.1,-11.232,0,0,0,0,0,0,0,0,0,0,0
83,83,1,1,1,1.1007,-11.105,0,0,0,0,0,0,0,0,0,0,0
84,84,1,1,1,1.0799,-11.213,0,0,0,0,0,0,0,0,0,0,0
85,85,1,1,1,1.0935,-3.5943,0,0,0,0,0,0,0,0,0,0,0
86,86,1,1,1,1.0946,-8.1864,0.0935,0,0,0,0,0,0,0,0,0,0
87,87,1,1,1,1.0946,-8.1866,0.0818,0,0,0,0,0,0,0,0,0,0
88,88,1,1,1,1.0996,-2,0,0,0,0,0,0,0,0,0,0,0
89,89,1,1,1,1.0997,-1.9873,0,0,0,0,0,0,0,0,0,0,0
90,90,1,1,1,1.1094,-1.6043,0,0,0,0,0,0,0,0,0,0,0
91,91,1,1,1,1.1095,-1.6066,0,0,0,0,0,0,0,0,0,0,0
92,92,1,1,1,1.0747,-3.3766,0,0,0,0,0,0,0,0,0,0,0
93,93,1,1,1,1.0744,-3.3832,0,0,0,0,0,0,0,0,0,0,0
94,94,1,1,2,1.1088,-1.1645,0.2813,0.7033,4.45,1.913,0,0,2.62,-0.12,0,0,0
95,95,1,1,2,1.11,-0.70406,0.422,1.0349,6.75,2.1639,0,0,3.93,-0.18,0,0,0
96,96,1,1,1,1.0959,-2.1354,0.0772,-0.2499,0,0,0,0,0,0,0,0,0
97,97,1,1,1,1.0959,-2.1364,0,0,0,0,0,0,0,0,0,0,0
98,98,1,1,2,1.05,-3.7839,0.3215,1.4268,7.63,0.5776,0,0,3.32,-0.62,0,0,0
99,99,1,1,1,1.0499,-3.8114,0,0,0,0,0,0,0,0,0,0,0
100,100,1,1,1,1.0601,-5.3044,0,0,0,0,0,0,0,0,0,0,0
101,101,1,1,1,1.1085,-1.1045,0,0,0,0,0,0,0,0,0,0,0
102,102,1,1,1,1.1085,-1.1018,0,0,0,0,0,0,0,0,0,0,0
103,103,1,1,1,1.0963,-3.3605,0.4511,0.0794,0,0,0,0,0,0,0,0,0
104,104,1,1,1,1.0963,-3.3649,0,0,0,0,0,0,0,0,0,0,0
105,105,1,1,1,1.1042,-0.96982,0,0,0,0,0,0,0,0,0,0,0
106,106,1,1,1,1.1042,-0.97182,0,0,0,0,0,0,0,0,0,0,0
107,107,1,1,1,1.1005,-2.9515,0,0,0,0,0,0,0,0,0,0,0
108,108,1,1,1,1.1005,-2.9573,0,0,0,0,0,0,0,0,0,0,0
109,109,1,1,1,1.0434,-1.5458,0,0,0,0,0,0,0,0,0,0,0
110,110,1,1,1,1.0434,-1.5473,0,0,0,0,0,0,0,0,0,0,0
111,111,1,1,1,1.1068,-0.81041,0,0,0,0,0,0,0,0,0,0,0
112,112,1,1,1,1.1069,-0.80889,0,0,0,0,0,0,0,0,0,0,0
113,113,1,1,1,1.0811,-2.7424,0,0,0,0,0,0,0,0,0,0,0
114,114,1,1,1,1.081,-2.7552,0,0,0,0,0,0,0,0,0,0,0
115,115,1,1,2,1.1009,-2.2424,0.2936,0.1851,0.18,0,0,0,0,0,0,0,0
116,116,1,1,1,1.1008,-2.2548,0,0,0,0,0,0,0,0,0,0,0
117,117,1,1,1,1.0946,-8.1675,0,0,0,0,0,0,0,0,0,0,0
118,118,1,1,1,1.0946,-8.1645,0,0,0,0,0,0,0,0,0,0,0
119,119,1,1,1,1.0607,-3.7046,0,0,0,0,0,0,0,0,0,0,0
120,120,1,1,1,1.0607,-3.706,0,0,0,0,0,0,0,0,0,0,0
121,121,1,1,2,1.11,-0.81487,0,0,0,0,0,0,1.2,-0.1,0,0,0
122,122,1,1,2,1.11,-0.81293,0.1005,0.4421,2.25,0.6133,0,0,1.2,-0.1,0,0,0
123,123,1,1,2,1.11,-0.9014,0.0703,0.1809,1.2,0.663,0,0,0.73,-0.01,0,0,0
124,124,1,1,2,1.11,-0.88955,0.0804,0.211,1.2,0.1634,0,0,0.73,-0.01,0,0,0
125,125,1,1,1,1.0962,-3.6595,0,0,0,0,0,0,0,0,0,0,0
126,126,1,1,1,1.0962,-3.6674,0.7154,0.0794,0,0,0,0,0,0,0,0,0
127,127,1,1,1,1.0791,-3.98,0,0,0,0,0,0,0,0,0,0,0
128,128,1,1,1,1.0892,-1.6916,0,0,0,0,0,0,0,0,0,0,0
129,129,1,1,1,1.0892,-1.6937,0,0,0,0,0,0,0,0,0,0,0
130,130,1,1,1,1.0945,-2.2011,0,0,0,0,0,0,0,0,0,0,0
131,131,1,1,1,1.0946,-2.1929,0,0,0,0,0,0,0,0,0,0,0
132,132,1,1,1,1.0415,-4.6894,0,0,0,0,0,0,0,0,0,0,0
133,133,1,1,1,1.0415,-4.6894,0,0,0,0,0,0,0,0,0,0,0
134,134,1,1,2,1.1076,-1.7541,0,0,0,0,0,0,0.8,0,0,0,0
135,135,1,1,2,1.1076,-1.7566,0.0904,0.201,1.2,0.8,0,0,0.8,0,0,0,0
136,136,1,1,2,1.0927,-3.2536,0.0603,0.1507,0.8,0.31,0,0,0.31,0,0,0,0
137,137,1,1,1,1.0927,-3.2651,0,0,0,0,0,0,0,0,0,0,0
138,138,1,1,1,1.0477,-10.431,0,0,0,0,0,0,0,0,0,0,0
139,139,1,1,1,1.0478,-10.433,0,0,0,0,0,0,0,0,0,0,0
140,140,1,1,1,1.05,-5.2379,0,0,0,0,0,0,0,0,0,0,0
141,141,1,1,1,1.05,-5.2363,0,0,0,0,0,0,0,0,0,0,0
142,142,1,1,1,1.0765,-4.237,0,0,0,0,0,0,0,0,0,0,0
143,143,1,1,1,1.0766,-4.2345,0,0,0,0,0,0,0,0,0,0,0
144,144,1,1,2,1.11,-0.42094,0.1834,0.1586,2.15,0.4429,0,0,1.35,-0.35,0,0,0
145,145,1,1,2,1.11,-0.39755,0.4101,0.4307,4.4,0.8595,0,0,2.75,-0.7,0,0,0
146,146,1,1,2,1.0397,-3.7365,0.2813,0.6631,4.45,-0.72,0,0,2.77,-0.72,0,0,0
147,147,1,1,1,1.0397,-3.7355,0,0,0,0,0,0,0,0,0,0,0
148,148,1,1,1,1.095,-3.4504,0,0,0,0,0,0,0,0,0,0,0
149,149,1,1,1,1.0951,-3.4433,0,0,0,0,0,0,0,0,0,0,0
150,150,1,1,1,1.1097,-0.88932,0,0,0,0,0,0,0,0,0,0,0
151,151,1,1,1,1.0985,-3.068,0,0,0,0,0,0,0,0,0,0,0
152,152,1,1,2,1.0747,-3.3768,0,0,0,0,0,0,1.44,-0.58,0,0,0
153,153,1,1,2,1.0745,-3.3834,0,0,0,0,0,0,1.44,-0.58,0,0,0
154,154,1,1,2,1.0886,-12.28,0.0784,0.201,1.2,0.85,0,0,0.85,-0.15,0,0,0
155,155,1,1,2,1.0886,-12.292,0.0804,0.201,1.2,0.85,0,0,1.7,-0.3,0,0,0
156,156,1,1,1,1.0635,-13.647,0,0,0,0,0,0,0,0,0,0,0
157,157,1,1,1,1.0635,-13.648,0,0,0,0,0,0,0,0,0,0,0
158,158,1,1,1,1.0549,-15.403,0,0,0,0,0,0,0,0,0,0,0
159,159,1,1,1,1.0809,-11.931,0,0,0,0,0,0,0,0,0,0,0
160,160,1,1,1,1.0808,-11.94,0,0,0,0,0,0,0,0,0,0,0
161,161,1,1,1,1.0224,-11.564,0,0,0,0,0,0,0,0,0,0,0
162,162,1,1,1,1.0223,-11.566,0,0,0,0,0,0,0,0,0,0,0
163,163,1,1,1,1.0262,-27.58,0,0,0,0,0,0,0,0,0,0,0
164,164,1,1,1,1.0771,-34.457,0,0,0,0,0,0,0,0,0,0,0
165,165,1,1,1,1.0771,-34.457,0,0,0,0,0,0,0,0,0,0,0
166,166,1,1,1,1.0717,-29.991,0,0,0,0,0,0,0,0,0,0,0
167,167,1,1,1,1.0717,-29.991,0,0,0,0,0,0,0,0,0,0,0
168,168,1,1,1,1.0543,-15.64,0,0,0,0,0,0,0,0,0,0,0
169,169,1,1,2,1.081,-17.439,0,0,0,0,0,0,0.25,0,0,0,0
170,170,1,1,2,1.081,-17.454,0,0,0,0,0,0,1.15,-0.15,0,0,0
171,171,1,1,1,1.11,-14.255,0,0,0,0,0,0,0,0,0,0,0
172,172,1,1,2,1.1042,-32.358,0.1206,0.3014,1,1.19,0,0,2.3,-0.52,0,0,0
173,173,1,1,2,1.1041,-32.358,0.0939,0.0243,0,0,0,0,2.13,-0.36,0,0,0
174,174,1,1,2,1.0361,-29.563,0.1206,0.3014,0.9,-0.15,0,0,1.02,-0.15,0,0,0
175,175,1,1,2,1.0361,-29.559,0.2411,0.6029,1.9,1.1943,0,0,1.95,-0.25,0,0,0
176,176,1,1,1,0.9948,-26.47,0,0,0,0,0,0,0,0,0,0,0
177,177,1,1,1,0.99492,-26.479,0,0,0,0,0,0,0,0,0,0,0
178,178,1,1,1,1.0483,-21.804,0,0,0,0,0,0,0,0,0,0,0
179,179,1,1,1,1.0483,-21.808,0,0,0,0,0,0,0,0,0,0,0
180,180,1,1,2,1.11,-8.1601,0.2612,0.643,5.22,1.98,0,0,2.54,-0.7,0,0,0
181,181,1,1,2,1.11,-8.1681,0.2612,0.643,4.67,2.3,0,0,2.3,-0.52,0,0,0
182,182,1,1,2,1.11,-8.1456,0.2612,0.6451,4.7,0.2162,0,0,2.9,-0.76,0,0,0
183,183,1,1,2,1.0494,-7.5233,0.2612,0.6451,4.12,2.06,0,0,2.06,-0.34,0,0,0
184,184,1,1,1,1.0494,-7.5248,0,0,0,0,0,0,0,0,0,0,0
185,185,1,1,1,1.0807,-34.493,0,0,0,0,0,0,0,0,0,0,0
186,186,1,1,1,1.0807,-34.493,0,0,0,0,0,0,0,0,0,0,0
187,187,1,1,1,1.0081,-12.649,0,0,0,0,0,0,0,0,0,0,0
188,188,1,1,1,0.97886,-18.44,0,0,0,0,0,0,0,0,0,0,0
189,189,1,1,1,1.0206,-10.674,0,0,0,0,0,0,0,0,0,0,0
190,190,1,1,1,1.0206,-10.666,0,0,0,0,0,0,0,0,0,0,0
191,191,1,1,2,1.083,-17.586,0.1206,0.3014,2,1.04,0,0,1.04,-0.23,0,0,0
192,192,1,1,2,1.0827,-17.628,0.1466,0.3065,2,1.04,0,0,3.12,-0.69,0,0,0
193,193,1,1,2,1.0324,-10.998,0.3818,0.643,4.64,2.94,0,0,2.94,-2.59,0,0,0
194,194,1,1,1,1.0142,-34.129,0,0,0,0,0,0,0,0,0,0,0
195,195,1,1,1,1.0142,-34.134,0,0,0,0,0,0,0,0,0,0,0
196,196,1,1,1,1.0765,-34.541,0,0,0,0,0,0,0,0,0,0,0
197,197,1,1,1,1.0765,-34.543,0,0,0,0,0,0,0,0,0,0,0
198,198,1,1,1,1.0206,-28.735,0,0,0,0,0,0,0,0,0,0,0
199,199,1,1,1,1.0206,-28.727,0,0,0,0,0,0,0,0,0,0,0
200,200,1,1,1,0.98033,-30.389,0,0,0,0,0,0,0,0,0,0,0
201,201,1,1,1,0.98033,-30.389,0,0,0,0,0,0,0,0,0,0,0
202,202,1,1,1,1.0165,-20.425,0,0,0,0,0,0,0,0,0,0,0
203,203,1,1,1,1.0165,-20.42,0,0,0,0,0,0,0,0,0,0,0
204,204,1,1,1,1.0106,-29.473,0,0,0,0,0,0,0,0,0,0,0
205,205,1,1,1,1.0637,-13.172,0,0,0,0,0,0,0,0,0,0,0
206,206,1,1,1,1.0637,-13.184,0,0,0,0,0,0,0,0,0,0,0
207,207,1,1,1,1.0555,-11.522,0,0,0,0,0,0,0,0,0,0,0
208,208,1,1,2,1.0675,-20.341,0.0314,0.0151,1.88,1,0,0,1,0,0,0,0
209,209,1,1,1,1.0071,-21.696,0,0,0,0,0,0,0,0,0,0,0
210,210,1,1,1,1.0071,-21.687,0,0,0,0,0,0,0,0,0,0,0
211,211,1,1,1,1.0439,-26.876,0,0,0,0,0,0,0,0,0,0,0
212,212,1,1,1,1.11,-31.126,0,0,0,0,0,0,0,0,0,0,0
213,213,1,1,1,1.032,-30.05,0,0,0,0,0,0,0,0,0,0,0
214,214,1,1,1,1.0321,-30.051,0,0,0,0,0,0,0,0,0,0,0
215,215,1,1,1,1.0233,-28.076,0,0,0,0,0,0,0,0,0,0,0
216,216,1,1,1,1.0234,-28.083,0,0,0,0,0,0,0,0,0,0,0
217,217,1,1,1,1.0295,-33.327,0,0,0,0,0,0,0,0,0,0,0
218,218,1,1,1,1.0236,-31.927,0,0,0,0,0,0,0,0,0,0,0
219,219,1,1,1,1.0236,-31.933,0,0,0,0,0,0,0,0,0,0,0
220,220,1,1,1,1.055,-27.065,0,0,0,0,0,0,0,0,0,0,0
221,221,1,1,1,1.055,-27.069,0,0,0,0,0,0,0,0,0,0,0
222,222,1,1,1,1.0062,-24.404,0,0,0,0,0,0,0,0,0,0,0
223,223,1,1,1,1.0062,-24.404,0,0,0,0,0,0,0,0,0,0,0
224,224,1,1,1,1.0292,-30.071,0,0,0,0,0,0,0,0,0,0,0
225,225,1,1,1,1.0517,-25.997,0,0,0,0,0,0,0,0,0,0,0
226,226,1,1,1,1.0517,-25.99,0,0,0,0,0,0,0,0,0,0,0
227,227,1,1,1,1.0707,-29.652,0,0,0,0,0,0,0,0,0,0,0
228,228,1,1,1,1.0605,-30.311,0,0,0,0,0,0,0,0,0,0,0
229,229,1,1,1,1.0272,-30.082,0,0,0,0,0,0,0,0,0,0,0
230,230,1,1,1,1.0271,-30.082,0,0,0,0,0,0,0,0,0,0,0
231,231,1,1,1,1.05,-33.421,0,0,0,0,0,0,0,0,0,0,0
232,232,1,1,1,1.0529,-30.393,0,0,0,0,0,0,0,0,0,0,0
233,233,1,1,1,1.053,-30.39,0,0,0,0,0,0,0,0,0,0,0
234,234,1,1,1,1.0363,-29.278,0,0,0,0,0,0,0,0,0,0.7,0
235,235,1,1,1,1.0362,-29.281,0,0,0,0,0,0,0,0,0,0,0
236,236,1,1,1,1.0294,-28.188,0,0,0,0,0,0,0,0,0,0,0
237,237,1,1,1,1.0293,-28.187,0,0,0,0,0,0,0,0,0,0,0
238,238,1,1,1,1.0323,-26.207,0,0,0,0,0,0,0,0,0,0,0
239,239,1,1,1,1.0323,-26.223,0,0,0,0,0,0,0,0,0,0,0
240,240,1,1,2,1.0222,-27.36,0.0201,0.4019,3.58,-1.24,0,0,3.7,-2.24,0,0,0
241,241,1,1,2,1.0222,-27.357,0.0555,0.3014,1.79,-0.1963,0,0,1.6,-1,0,0,0
242,242,1,1,1,1.0686,-32.338,0,0,0,0,0,0,0,0,0,0,0
243,243,1,1,1,1.0687,-32.332,0,0,0,0,0,0,0,0,0,0,0
244,244,1,1,2,1.11,-2.2656,0,0,2.2,0.1007,0,0,1,0,0,0,0
245,245,1,1,1,1.0598,-27.476,0.0994,0.0201,0,0,0,0,0,0,0,0,0
246,246,1,1,1,1.0688,-35.165,0.0889,0,0,0,0,0,0,0,0,0,0
247,247,1,1,1,1.0687,-35.156,0.0889,0,0,0,0,0,0,0,0,0,0
248,248,1,1,1,1.1119,-21.265,0.0609,0.01,0,0,0,0,0,0,0,0,0
249,249,1,1,1,1.1119,-21.289,0.0609,0.0201,0,0,0,0,0,0,0,0,0
250,250,1,1,1,1.0369,-26.112,0.0294,0.0251,0,0,0,0,0,0,0,0,0
251,251,1,1,1,1.0369,-26.114,0.0629,0.0583,0,0,0,0,0,0,0,0,0
252,252,1,1,1,1.0894,-2.2255,0.0518,0.0131,0,0,0,0,0,0,0,0,0
253,253,1,1,1,1.0783,-3.3838,0.062,0.01,0,0,0,0,0,0,0,0,0
254,254,1,1,2,1.1053,-24.325,-0.1153,1.1974,1.78,0.8,0,0,0.8,0,0,0,0
255,255,1,1,1,1.1055,-24.524,0.2302,0.0201,0,0,0,0,0,0,0,0,0
256,256,1,1,1,1.1066,-24.736,0.1465,0.0151,0,0,0,0,0,0,0,0,0
257,257,1,1,1,1.1064,-24.887,0.1674,0,0,0,0,0,0,0,0,0,0
258,258,1,1,1,1.105,-25.029,0.2616,0.0301,0,0,0,0,0,0,0,0,0
259,259,1,1,1,1.1051,-24.503,0.1151,0.0201,0,0,0,0,0,0,0,0,0
260,260,1,1,1,1.1047,-24.963,0.0523,0.01,0,0,0,0,0,0,0,0,0
261,261,1,1,1,1.1046,-24.941,0.0523,0.01,0,0,0,0,0,0,0,0,0
262,262,1,1,1,1.1065,-24.982,0,0,0,0,0,0,0,0,0,0,0
263,263,1,1,1,1.0992,-24.354,0.0772,0.0151,0,0,0,0,0,0,0,0,0
264,264,1,1,1,1.0993,-24.348,0.0559,0.01,0,0,0,0,0,0,0,0,0
265,265,1,1,1,1.1077,-23.549,0.0505,0.005,0,0,0,0,0,0,0,0,0
266,266,1,1,1,1.1076,-23.571,0.0505,0.005,0,0,0,0,0,0,0,0,0
267,267,1,1,2,1.0583,-18.518,0.0006,0,0.021,0.01,0,0,0.01,0,0,0,0
268,268,1,1,2,1.0751,-10.605,0.1087,0.0251,0.021,0.01,0,0,0.01,0,0,0,0
269,269,1,1,1,1.1109,-23.305,0.2071,0.0563,0,0,0,0,0,0,0,0,0
270,270,1,1,1,1.0908,-4.6512,0.0091,0.004,0,0,0,0,0,0,0,0,0
271,271,1,1,1,1.0872,-0.50335,0.0121,-0.009,0,0,0,0,0,0,0,0,0
272,272,1,1,1,1.0985,-24.753,0.0566,0.003,0,0,0,0,0,0,0,0,0
273,273,1,1,1,1.1002,-32.209,0.0523,0.002,0,0,0,0,0,0,0,0,0
274,274,1,1,1,1.0846,-26.281,0.2407,0.0201,0,0,0,0,0,0,0,0,0
275,275,1,1,1,1.1092,-9.3158,0.0417,0.0211,0,0,0,0,0,0,0,0,0
276,276,1,1,1,1.0596,-14.472,0.0833,0.0151,0,0,0,0,0,0,0,0,0
277,277,1,1,1,1.1196,-23.464,0.0315,0.005,0,0,0,0,0,0,0,0,0
278,278,1,1,2,1.1154,-8.9578,0.0386,0.0161,0,0,0,0,0.05,0,0,0,0
279,279,1,1,2,1.1199,-10.325,0.0386,0.0161,0,0,0,0,0.05,0,0,0,0
280,280,1,1,1,1.0972,-23.799,0.2436,0.0653,0,0,0,0,0,0,0,0,0
281,281,1,1,1,1.0794,-3.2469,0.1036,0.0221,0,0,0,0,0,0,0,0,0
282,282,1,1,1,1.0746,-13.125,0.0609,0.005,0,0,0,0,0,0,0,0,0
283,283,1,1,1,1.0745,-13.118,0.0325,0.002,0,0,0,0,0,0,0,0,0
284,284,1,1,1,1.0745,-2.2326,0.1351,0.0703,0,0,0,0,0,0,0,0,0
285,285,1,1,1,1.0744,-2.2554,0.2072,0.1155,0,0,0,0,0,0,0,0,0
286,286,1,1,1,1.0811,-28.771,0.1031,0.004,0,0,0,0,0,0,0,0,0
287,287,1,1,1,1.111,-8.7234,0.126,0.0452,0,0,0,0,0,0,0,0,0
288,288,1,1,1,1.0803,-29.033,0.096,0.008,0,0,0,0,0,0,0,0,0
289,289,1,1,1,1.0803,-29.037,0,0,0,0,0,0,0,0,0,0,0
290,290,1,1,1,1.0859,-29.051,0.0628,0.003,0,0,0,0,0,0,0,0,0
291,291,1,1,1,1.0796,-29.283,0.0523,0,0,0,0,0,0,0,0,0,0
292,292,1,1,1,1.0796,-29.287,0.0419,0,0,0,0,0,0,0,0,0,0
293,293,1,1,1,1.0886,-27.769,0.0105,0,0,0,0,0,0,0,0,0,0
294,294,1,1,1,1.0887,-27.794,0,0,0,0,0,0,0,0,0,0,0
295,295,1,1,2,1.0944,-25.729,0.0023,0.004,0.2,0.15,0,0,0.15,0,0,0,0
296,296,1,1,1,1.0945,-25.75,0,0,0,0,0,0,0,0,0,0,0
297,297,1,1,1,1.0685,-32.627,0.0942,0.0201,0,0,0,0,0,0,0,0,0
298,298,1,1,1,1.1039,-5.203,0.003,0.001,0,0,0,0,0,0,0,0,0
299,299,1,1,1,1.1003,-5.1172,0.003,0.001,0,0,0,0,0,0,0,0,0
300,300,1,1,1,1.1017,-5.2814,0.1351,0.0764,0,0,0,0,0,0,0,0,0
301,301,1,1,1,1.1002,-5.1188,0.0051,0.002,0,0,0,0,0,0,0,0,0
302,302,1,1,1,1.0789,-31.065,0.0778,0.001,0,0,0,0,0,0,0,0,0
303,303,1,1,1,1.0789,-31.078,0.0899,0.001,0,0,0,0,0,0,0,0,0
