ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt
58,30,1,1,1,0,0.01174,0.07014,0.12689,0,0,0,0,0,0,0,0,0,0,0,0
37,107,1,1,1,0,0.00919,0.06614,0.10451,0,0,0,0,0,0,0,0,0,0,0,0
38,108,1,1,1,0,0.00822,0.05767,0.0982,0,0,0,0,0,0,0,0,0,0,0,0
169,42,1,1,1,0,0.01698,0.12459,0.1957,0,0,0,0,0,0,0,0,0,0,0,0
155,48,1,1,1,0,0.01298,0.06738,0.10284,0,0,0,0,0,0,0,0,0,0,0,0
154,27,1,1,1,0,0.01068,0.0475,0.09495,0,0,0,0,0,0,0,0,0,0,0,0
191,28,1,1,1,0,0.01436,0.10729,0.16081,0,0,0,0,0,0,0,0,0,0,0,0
55,126,1,1,1,0,0.01488,0.08161,0.1148,0,0,0,0,0,0,0,0,0,0,0,0
54,108,1,1,1,0,0.01116,0.07171,0.10367,0,0,0,0,0,0,0,0,0,0,0,0
207,100,1,1,1,0,0.00552,0.05948,0.17077,0,0,0,0,0,0,0,0,0,0,0,0
238,192,1,1,1,0,0.01118,0.06597,0.10778,0,0,0,0,0,0,0,0,0,0,0,0
226,191,1,1,1,0,0.01682,0.08909,0.12993,0,0,0,0,0,0,0,0,0,0,0,0
225,192,1,1,1,0,0.01384,0.08702,0.13484,0,0,0,0,0,0,0,0,0,0,0,0
242,195,1,1,1,0,0.01517,0.09938,0.14492,0,0,0,0,0,0,0,0,0,0,0,0
59,16,1,1,1,0,0.01347,0.07316,0.13418,0,0,0,0,0,0,0,0,0,0,0,0
233,25,1,1,1,0,0.01403,0.10413,0.15949,0,0,0,0,0,0,0,0,0,0,0,0
117,70,1,1,1,0,0.00374,0.0438,0.10096,0,0,0,0,0,0,0,0,0,0,0,0
190,99,1,1,1,0,0.00194,0.02007,0.54307,0,0,0,0,0,0,0,0,0,0,0,0
60,12,1,1,1,0,0.0015,0.01506,0.4032,0,0,0,0,0,0,0,0,0,0,0,0
214,174,1,1,1,0,0.00296,0.03484,0.9296,0,0,0,0,0,0,0,0,0,0,0,0
138,72,1,1,1,0,0.00169,0.01931,0.53814,0,0,0,0,0,0,0,0,0,0,0,0
41,110,1,1,1,0,0.00137,0.01569,0.43744,0,0,0,0,0,0,0,0,0,0,0,0
40,141,1,1,1,0,0.00234,0.02677,0.74653,0,0,0,0,0,0,0,0,0,0,0,0
34,222,1,1,1,0,0.00217,0.02513,0.67098,0,0,0,0,0,0,0,0,0,0,0,0
138,80,1,1,1,0,0.00152,0.01739,0.48083,0,0,0,0,0,0,0,0,0,0,0,0
140,80,1,1,1,0,0.00468,0.05347,1.4888,0,0,0,0,0,0,0,0,0,0,0,0
99,44,1,1,1,0,0.00355,0.03617,0.95894,0,0,0,0,0,0,0,0,0,0,0,0
109,40,1,1,1,0,0.00195,0.02103,0.5679,0,0,0,0,0,0,0,0,0,0,0,0
63,139,1,1,1,0,0.00144,0.01446,0.51213,0,0,0,0,0,0,0,0,0,0,0,0
14,6,1,1,1,0,0.013,0.09781,0.14013,0,0,0,0,0,0,0,0,0,0,0,0
43,14,1,1,1,0,0.00525,0.03847,0.06053,0,0,0,0,0,0,0,0,0,0,0,0
33,6,1,1,1,0,0.00457,0.03351,0.05245,0,0,0,0,0,0,0,0,0,0,0,0
24,9,1,1,1,0,0.01469,0.10915,0.16676,0,0,0,0,0,0,0,0,0,0,0,0
29,16,1,1,1,0,0.01262,0.09326,0.14324,0,0,0,0,0,0,0,0,0,0,0,0
37,7,1,1,1,0,0.00924,0.05052,0.07698,0,0,0,0,0,0,0,0,0,0,0,0
24,3,1,1,1,0,0.01068,0.07936,0.12155,0,0,0,0,0,0,0,0,0,0,0,0
37,27,1,1,1,0,0.00585,0.04027,0.07161,0,0,0,0,0,0,0,0,0,0,0,0
39,26,1,1,1,0,0.00585,0.04027,0.07161,0,0,0,0,0,0,0,0,0,0,0,0
15,8,1,1,1,0,0.00558,0.04147,0.0629,0,0,0,0,0,0,0,0,0,0,0,0
46,14,1,1,1,0,0.00089,0.0063,0.0108,0,0,0,0,0,0,0,0,0,0,0,0
31,15,1,1,1,0,0.00442,0.02374,0.04477,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,1,1,0,0.00494,0.0269,0.04225,0,0,0,0,0,0,0,0,0,0,0,0
26,6,1,1,1,0,0.00287,0.01671,0.02467,0,0,0,0,0,0,0,0,0,0,0,0
37,1,1,1,1,0,0.0012,0.0089,0.01512,0,0,0,0,0,0,0,0,0,0,0,0
39,2,1,1,1,0,0.0012,0.0089,0.01513,0,0,0,0,0,0,0,0,0,0,0,0
38,32,1,1,1,0,0.00399,0.02901,0.04808,0,0,0,0,0,0,0,0,0,0,0,0
34,12,1,1,1,0,0.00298,0.03445,0.94221,0,0,0,0,0,0,0,0,0,0,0,0
40,34,1,1,1,0,0.00358,0.04122,1.1338,0,0,0,0,0,0,0,0,0,0,0,0
20,41,1,1,1,0,0.00342,0.03928,1.0829,0,0,0,0,0,0,0,0,0,0,0,0
11,22,1,1,1,0,0.00286,0.0335,0.89392,0,0,0,0,0,0,0,0,0,0,0,0
11,20,1,1,1,0,0.0011,0.01259,0.3496,0,0,0,0,0,0,0,0,0,0,0,0
44,41,1,1,1,0,0.00076,0.00868,0.24096,0,0,0,0,0,0,0,0,0,0,0,0
79,74,1,1,1,0,0.01054,0.06151,0.09306,0,0,0,0,0,0,0,0,0,0,0,0
76,71,1,1,1,0,0.00905,0.06723,0.10296,0,0,0,0,0,0,0,0,0,0,0,0
83,49,1,1,1,0,0.0114,0.06587,0.09975,0,0,0,0,0,0,0,0,0,0,0,0
66,49,1,1,1,0,0.0107,0.06628,0.10825,0,0,0,0,0,0,0,0,0,0,0,0
74,57,1,1,1,0,0.00543,0.03733,0.06668,0,0,0,0,0,0,0,0,0,0,0,0
75,59,1,1,1,0,0.00543,0.03733,0.06668,0,0,0,0,0,0,0,0,0,0,0,0
75,49,1,1,1,0,0.00657,0.0481,0.0727,0,0,0,0,0,0,0,0,0,0,0,0
84,67,1,1,1,0,0.00302,0.0201,0.03069,0,0,0,0,0,0,0,0,0,0,0,0
67,53,1,1,1,0,0.007,0.05138,0.08084,0,0,0,0,0,0,0,0,0,0,0,0
51,70,1,1,1,0,0.00329,0.02506,0.0439,0,0,0,0,0,0,0,0,0,0,0,0
52,50,1,1,1,0,0.00789,0.05868,0.08985,0,0,0,0,0,0,0,0,0,0,0,0
71,52,1,1,1,0,0.00558,0.04062,0.06491,0,0,0,0,0,0,0,0,0,0,0,0
83,51,1,1,1,0,0.00452,0.03366,0.05156,0,0,0,0,0,0,0,0,0,0,0,0
83,82,1,1,1,0,0.00134,0.00996,0.01337,0,0,0,0,0,0,0,0,0,0,0,0
78,57,1,1,1,0,0.00618,0.04353,0.07649,0,0,0,0,0,0,0,0,0,0,0,0
79,58,1,1,1,0,0.00618,0.04353,0.07649,0,0,0,0,0,0,0,0,0,0,0,0
78,54,1,1,1,0,0.01219,0.0637,0.09333,0,0,0,0,0,0,0,0,0,0,0,0
77,55,1,1,1,0,0.00246,0.01826,0.02798,0,0,0,0,0,0,0,0,0,0,0,0
62,54,1,1,1,0,0.00242,0.01531,0.02249,0,0,0,0,0,0,0,0,0,0,0,0
65,61,1,1,1,0,0.0017,0.01977,0.53386,0,0,0,0,0,0,0,0,0,0,0,0
73,69,1,1,1,0,0.00116,0.013,0.33856,0,0,0,0,0,0,0,0,0,0,0,0
56,72,1,1,1,0,0.00218,0.02536,0.68579,0,0,0,0,0,0,0,0,0,0,0,0
80,73,1,1,1,0,0.00105,0.01123,0.28195,0,0,0,0,0,0,0,0,0,0,0,0
64,81,1,1,1,0,0.00119,0.01428,0.36666,0,0,0,0,0,0,0,0,0,0,0,0
68,60,1,1,1,0,0.00184,0.02139,0.5777,0,0,0,0,0,0,0,0,0,0,0,0
113,144,1,1,1,0,0.00488,0.03362,0.05961,0,0,0,0,0,0,0,0,0,0,0,0
91,124,1,1,1,0,0.01093,0.05919,0.08439,0,0,0,0,0,0,0,0,0,0,0,0
124,111,1,1,1,0,0.00194,0.01415,0.0223,0,0,0,0,0,0,0,0,0,0,0,0
95,150,1,1,1,0,0.00192,0.01355,0.023,0,0,0,0,0,0,0,0,0,0,0,0
150,102,1,1,1,0,0.00238,0.01667,0.02846,0,0,0,0,0,0,0,0,0,0,0,0
123,150,1,1,1,0,0.00279,0.02017,0.03204,0,0,0,0,0,0,0,0,0,0,0,0
151,149,1,1,1,0,0.00066,0.00496,0.00758,0,0,0,0,0,0,0,0,0,0,0,0
123,151,1,1,1,0,0.00537,0.04039,0.06005,0,0,0,0,0,0,0,0,0,0,0,0
108,151,1,1,1,0,0.00083,0.00525,0.00868,0,0,0,0,0,0,0,0,0,0,0,0
117,137,1,1,1,0,0.01589,0.0876,0.11682,0,0,0,0,0,0,0,0,0,0,0,0
97,130,1,1,1,0,0.00217,0.01459,0.02575,0,0,0,0,0,0,0,0,0,0,0,0
134,118,1,1,1,0,0.01773,0.11678,0.16361,0,0,0,0,0,0,0,0,0,0,0,0
145,90,1,1,1,0,0.00593,0.04093,0.07215,0,0,0,0,0,0,0,0,0,0,0,0
125,107,1,1,1,0,0.0039,0.02847,0.04498,0,0,0,0,0,0,0,0,0,0,0,0
136,95,1,1,1,0,0.00816,0.04242,0.0612,0,0,0,0,0,0,0,0,0,0,0,0
137,94,1,1,1,0,0.00816,0.04242,0.0612,0,0,0,0,0,0,0,0,0,0,0,0
95,92,1,1,1,0,0.00519,0.03839,0.05875,0,0,0,0,0,0,0,0,0,0,0,0
94,89,1,1,1,0,0.00213,0.01403,0.0226,0,0,0,0,0,0,0,0,0,0,0,0
131,94,1,1,1,0,0.00463,0.02775,0.04612,0,0,0,0,0,0,0,0,0,0,0,0
120,88,1,1,1,0,0.01122,0.07074,0.11571,0,0,0,0,0,0,0,0,0,0,0,0
127,135,1,1,1,0,0.00601,0.04147,0.07364,0,0,0,0,0,0,0,0,0,0,0,0
108,85,1,1,1,0,0.00207,0.01279,0.02055,0,0,0,0,0,0,0,0,0,0,0,0
103,107,1,1,1,0,0.00136,0.0099,0.01586,0,0,0,0,0,0,0,0,0,0,0,0
148,104,1,1,1,0,0.00058,0.00417,0.00684,0,0,0,0,0,0,0,0,0,0,0,0
152,92,1,1,1,0,0.00085,0.00624,0.00954,0,0,0,0,0,0,0,0,0,0,0,0
153,93,1,1,1,0,0.00085,0.00626,0.00948,0,0,0,0,0,0,0,0,0,0,0,0
119,93,1,1,1,0,0.00159,0.01112,0.01913,0,0,0,0,0,0,0,0,0,0,0,0
144,121,1,1,1,0,0.00314,0.02159,0.03839,0,0,0,0,0,0,0,0,0,0,0,0
145,128,1,1,1,0,0.00455,0.03157,0.05531,0,0,0,0,0,0,0,0,0,0,0,0
121,101,1,1,1,0,0.00145,0.01008,0.01719,0,0,0,0,0,0,0,0,0,0,0,0
122,112,1,1,1,0,0.00384,0.02721,0.04517,0,0,0,0,0,0,0,0,0,0,0,0
129,96,1,1,1,0,0.00777,0.04128,0.06391,0,0,0,0,0,0,0,0,0,0,0,0
106,94,1,1,1,0,0.00446,0.03041,0.04867,0,0,0,0,0,0,0,0,0,0,0,0
135,125,1,1,1,0,0.00589,0.03506,0.05235,0,0,0,0,0,0,0,0,0,0,0,0
126,116,1,1,1,0,0.00316,0.02378,0.03527,0,0,0,0,0,0,0,0,0,0,0,0
134,95,1,1,1,0,0.00184,0.0126,0.0224,0,0,0,0,0,0,0,0,0,0,0,0
123,105,1,1,1,0,0.00171,0.00961,0.01424,0,0,0,0,0,0,0,0,0,0,0,0
115,95,1,1,1,0,0.00341,0.02442,0.03997,0,0,0,0,0,0,0,0,0,0,0,0
135,94,1,1,1,0,0.00184,0.0126,0.02239,0,0,0,0,0,0,0,0,0,0,0,0
100,114,1,1,1,0,0.0057,0.04149,0.06617,0,0,0,0,0,0,0,0,0,0,0,0
143,136,1,1,1,0,0.00459,0.02463,0.03616,0,0,0,0,0,0,0,0,0,0,0,0
142,127,1,1,1,0,0.00215,0.01333,0.02211,0,0,0,0,0,0,0,0,0,0,0,0
117,87,1,1,1,0,0.00079,0.00488,0.00726,0,0,0,0,0,0,0,0,0,0,0,0
118,86,1,1,1,0,0.00079,0.00488,0.00724,0,0,0,0,0,0,0,0,0,0,0,0
110,146,1,1,1,0,0.00241,0.02782,0.77066,0,0,0,0,0,0,0,0,0,0,0,0
99,147,1,1,1,0,0.00213,0.02432,0.67744,0,0,0,0,0,0,0,0,0,0,0,0
140,132,1,1,1,0,0.00091,0.0104,0.28989,0,0,0,0,0,0,0,0,0,0,0,0
141,139,1,1,1,0,0.00312,0.03563,0.99107,0,0,0,0,0,0,0,0,0,0,0,0
132,147,1,1,1,0,0.00092,0.01051,0.29293,0,0,0,0,0,0,0,0,0,0,0,0
202,181,1,1,1,0,0.01039,0.08983,0.11422,0,0,0,0,0,0,0,0,0,0,0,0
203,180,1,1,1,0,0.01039,0.08983,0.11422,0,0,0,0,0,0,0,0,0,0,0,0
205,180,1,1,1,0,0.01455,0.0813,0.13279,0,0,0,0,0,0,0,0,0,0,0,0
206,181,1,1,1,0,0.01455,0.0813,0.13279,0,0,0,0,0,0,0,0,0,0,0,0
158,206,1,1,1,0,0.00519,0.03965,0.05836,0,0,0,0,0,0,0,0,0,0,0,0
158,168,1,1,1,0,0.00083,0.00645,0.00951,0,0,0,0,0,0,0,0,0,0,0,0
192,163,1,1,1,0,0.01105,0.08107,0.12824,0,0,0,0,0,0,0,0,0,0,0,0
159,182,1,1,1,0,0.00597,0.04473,0.06735,0,0,0,0,0,0,0,0,0,0,0,0
199,202,1,1,1,0,0.01736,0.10969,0.16268,0,0,0,0,0,0,0,0,0,0,0,0
176,203,1,1,1,0,0.00938,0.06093,0.08934,0,0,0,0,0,0,0,0,0,0,0,0
179,181,1,1,1,0,0.01246,0.09134,0.14349,0,0,0,0,0,0,0,0,0,0,0,0
156,160,1,1,1,0,0.00514,0.03826,0.05933,0,0,0,0,0,0,0,0,0,0,0,0
172,166,1,1,1,0,0.01062,0.0789,0.12085,0,0,0,0,0,0,0,0,0,0,0,0
178,209,1,1,1,0,0.00769,0.0569,0.08673,0,0,0,0,0,0,0,0,0,0,0,0
178,208,1,1,1,0,0.00225,0.01667,0.02541,0,0,0,0,0,0,0,0,0,0,0,0
199,170,1,1,1,0,0.01851,0.1088,0.14435,0,0,0,0,0,0,0,0,0,0,0,0
204,198,1,1,1,0,0.00236,0.01411,0.02031,0,0,0,0,0,0,0,0,0,0,0,0
198,163,1,1,1,0,0.00355,0.02607,0.04096,0,0,0,0,0,0,0,0,0,0,0,0
199,194,1,1,1,0,0.013,0.07589,0.11484,0,0,0,0,0,0,0,0,0,0,0,0
198,177,1,1,1,0,0.00934,0.0539,0.08683,0,0,0,0,0,0,0,0,0,0,0,0
170,154,1,1,1,0,0.00698,0.0374,0.05463,0,0,0,0,0,0,0,0,0,0,0,0
169,155,1,1,1,0,0.00436,0.03202,0.0503,0,0,0,0,0,0,0,0,0,0,0,0
191,170,1,1,1,0,0.0006,0.00351,0.00555,0,0,0,0,0,0,0,0,0,0,0,0
192,169,1,1,1,0,0.0006,0.00351,0.00555,0,0,0,0,0,0,0,0,0,0,0,0
179,166,1,1,1,0,0.01058,0.07762,0.12203,0,0,0,0,0,0,0,0,0,0,0,0
185,172,1,1,1,0,0.00469,0.03486,0.05338,0,0,0,0,0,0,0,0,0,0,0,0
173,164,1,1,1,0,0.00568,0.04012,0.07033,0,0,0,0,0,0,0,0,0,0,0,0
196,164,1,1,1,0,0.00105,0.00733,0.01258,0,0,0,0,0,0,0,0,0,0,0,0
197,185,1,1,1,0,0.00744,0.05397,0.09307,0,0,0,0,0,0,0,0,0,0,0,0
206,157,1,1,1,0,0.00221,0.01618,0.02541,0,0,0,0,0,0,0,0,0,0,0,0
207,205,1,1,1,0,0.00525,0.03837,0.06052,0,0,0,0,0,0,0,0,0,0,0,0
210,202,1,1,1,0,0.00236,0.01746,0.02676,0,0,0,0,0,0,0,0,0,0,0,0
183,161,1,1,1,0,0.00274,0.02778,0.69846,0,0,0,0,0,0,0,0,0,0,0,0
189,162,1,1,1,0,0.00171,0.01741,0.45456,0,0,0,0,0,0,0,0,0,0,0,0
187,190,1,1,1,0,0.00136,0.01599,0.41965,0,0,0,0,0,0,0,0,0,0,0,0
200,175,1,1,1,0,0.00373,0.04344,1.172,0,0,0,0,0,0,0,0,0,0,0,0
218,225,1,1,1,0,0.02738,0.14254,0.20047,0,0,0,0,0,0,0,0,0,0,0,0
232,238,1,1,1,0,0.02709,0.15992,0.26125,0,0,0,0,0,0,0,0,0,0,0,0
219,243,1,1,1,0,0.01909,0.11277,0.16673,0,0,0,0,0,0,0,0,0,0,0,0
221,226,1,1,1,0,0.008,0.05936,0.10081,0,0,0,0,0,0,0,0,0,0,0,0
225,211,1,1,1,0,0.00186,0.02155,0.05317,0,0,0,0,0,0,0,0,0,0,0,0
237,239,1,1,1,0,0.00738,0.05486,0.09318,0,0,0,0,0,0,0,0,0,0,0,0
220,236,1,1,1,0,0.00556,0.04198,0.06158,0,0,0,0,0,0,0,0,0,0,0,0
233,228,1,1,1,0,0.00205,0.01421,0.02506,0,0,0,0,0,0,0,0,0,0,0,0
243,212,1,1,1,0,0.00568,0.04215,0.0716,0,0,0,0,0,0,0,0,0,0,0,0
235,213,1,1,1,0,0.00131,0.01547,0.41152,0,0,0,0,0,0,0,0,0,0,0,0
215,222,1,1,1,0,0.00224,0.02606,0.70304,0,0,0,0,0,0,0,0,0,0,0,0
229,216,1,1,1,0,0.0024,0.02795,0.75408,0,0,0,0,0,0,0,0,0,0,0,0
240,234,1,1,1,0,0.0015,0.01768,0.46944,0,0,0,0,0,0,0,0,0,0,0,0
215,240,1,1,1,0,0.00133,0.01553,0.41901,0,0,0,0,0,0,0,0,0,0,0,0
216,241,1,1,1,0,0.00133,0.01553,0.41898,0,0,0,0,0,0,0,0,0,0,0,0
486,1,1,1,1,0,0.00157,0.06612,0,0,0,0,0,0,0.99491,0,0,0,0,0,0
487,2,1,1,1,0,0.00157,0.06612,0,0,0,0,0,0,0.9909,0,0,0,0,0,0
310,308,1,1,1,0,0.00101,0.04727,0,0,0,0,0,0,0.91667,0,0,0,0,0,0
310,41,1,1,1,0,0.00079,0.03678,0,0,0,0,0,0,0.91667,0,0,0,0,0,0
313,4,1,1,1,0,0.00165,0.06736,0,0,0,0,0,0,1.0436,0,0,0,0,0,0
5,3,1,1,1,0,0.00068,0.08078,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
314,5,1,1,1,0,0.00072,0.01281,0,0,0,0,0,0,1.0254,0,0,0,0,0,0
315,5,1,1,1,0,-0.00012,0.1674,0,0,0,0,0,0,0.94157,0,0,0,0,0,0
347,6,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0332,0,0,0,0,0,0
348,7,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.033,0,0,0,0,0,0
10,8,1,1,1,0,0.00079,0.07524,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
425,10,1,1,1,0,0.00081,0.00714,0,0,0,0,0,0,1.0052,0,0,0,0,0,0
427,10,1,1,1,0,-0.00024,0.15701,0,0,0,0,0,0,0.94157,0,0,0,0,0,0
426,8,1,1,1,0,0.00165,0.0686,0,0,0,0,0,0,1.0268,0,0,0,0,0,0
426,13,1,1,1,0,0.00066,0.0269,0,0,0,0,0,0,1.1012,0,0,0,0,0,0
428,13,1,1,1,0,-0.00044,0.00942,0,0,0,0,0,0,0.98438,0,0,0,0,0,0
17,14,1,1,1,0,0.00059,0.07897,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
439,17,1,1,1,0,0.0006,0.01352,0,0,0,0,0,0,1.0752,0,0,0,0,0,0
442,17,1,1,1,0,-0.00467,0.16067,0,0,0,0,0,0,0.94157,0,0,0,0,0,0
18,15,1,1,1,0,0.00062,0.08296,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
440,18,1,1,1,0,0.00062,0.01547,0,0,0,0,0,0,1.0752,0,0,0,0,0,0
443,18,1,1,1,0,-0.00056,0.17867,0,0,0,0,0,0,0.94157,0,0,0,0,0,0
441,16,1,1,1,0,0.00165,0.06775,0,0,0,0,0,0,1.0962,0,0,0,0,0,0
450,21,1,1,1,0,0.00011,0.00462,0,0,0,0,0,0,1.0909,0,0,0,0,0,0
452,21,1,1,1,0,0.00452,0.07233,0,0,0,0,0,0,0.96037,0,0,0,0,0,0
459,22,1,1,1,0,0.00087,0.05244,-0.02144,0,0,0,0,0,1.1175,0,0,0,0,0,0
479,24,1,1,1,0,0.00124,0.06839,0,0,0,0,0,0,1.027,0,0,0,0,0,0
478,25,1,1,1,0,0.00124,0.06839,0,0,0,0,0,0,1.012,0,0,0,0,0,0
484,26,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0479,0,0,0,0,0,0
485,27,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0276,0,0,0,0,0,0
491,28,1,1,1,0,0.00155,0.06612,0,0,0,0,0,0,1.0876,0,0,0,0,0,0
492,29,1,1,1,0,0.00157,0.06612,0,0,0,0,0,0,1.0983,0,0,0,0,0,0
498,30,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0903,0,0,0,0,0,0
499,31,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0903,0,0,0,0,0,0
500,32,1,1,1,0,0.00157,0.06798,0,0,0,0,0,0,1.016,0,0,0,0,0,0
501,33,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.027,0,0,0,0,0,0
509,36,1,1,1,0,0.00067,0.023,0,0,0,0,0,0,1.118,0,0,0,0,0,0
511,36,1,1,1,0,-0.00044,0.01252,0,0,0,0,0,0,0.98438,0,0,0,0,0,0
571,43,1,1,1,0,0.00165,0.06818,0,0,0,0,0,0,1.1347,0,0,0,0,0,0
601,44,1,1,1,0,0.00137,0.06119,-0.01504,0,0,0,0,0,1.051,0,0,0,0,0,0
602,45,1,1,1,0,0.00137,0.06119,-0.01504,0,0,0,0,0,1.051,0,0,0,0,0,0
682,46,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0985,0,0,0,0,0,0
737,47,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0857,0,0,0,0,0,0
738,48,1,1,1,0,0.00165,0.06901,0,0,0,0,0,0,1.0857,0,0,0,0,0,0
756,49,1,1,1,0,0.0014,0.0668,0,0,0,0,0,0,1.0225,0,0,0,0,0,0
761,50,1,1,1,0,0.00151,0.06715,0,0,0,0,0,0,1.016,0,0,0,0,0,0
785,52,1,1,1,0,0.00157,0.07808,0,0,0,0,0,0,1.0052,0,0,0,0,0,0
789,53,1,1,1,0,0.00149,0.06616,0,0,0,0,0,0,1.0268,0,0,0,0,0,0
846,57,1,1,1,0,0.00157,0.06775,0,0,0,0,0,0,1.0225,0,0,0,0,0,0
849,62,1,1,1,0,0.00163,0.06946,0,0,0,0,0,0,1.012,0,0,0,0,0,0
851,64,1,1,1,0,0.00135,0.06052,0,0,0,0,0,0,1.0488,0,0,0,0,0,0
882,65,1,1,1,0,0.00135,0.06052,0,0,0,0,0,0,1.0721,0,0,0,0,0,0
903,66,1,1,1,0,0.00119,0.06558,0,0,0,0,0,0,1.0412,0,0,0,0,0,0
923,69,1,1,1,0,0.0014,0.06235,0,0,0,0,0,0,1.051,0,0,0,0,0,0
927,68,1,1,1,0,0.00139,0.05984,0,0,0,0,0,0,1.0677,0,0,0,0,0,0
935,71,1,1,1,0,0.00145,0.06839,0,0,0,0,0,0,1.0225,0,0,0,0,0,0
955,76,1,1,1,0,0.00165,0.06775,0,0,0,0,0,0,1.0104,0,0,0,0,0,0
954,77,1,1,1,0,0.00157,0.06775,0,0,0,0,0,0,1.0043,0,0,0,0,0,0
